,0.255,0.855,0.455,1.255,0.705,0.805,0.105,0.205,0.555,1.205,1.005,0.505,0.005,0.755,0.055,1.355,0.955,0.905,0.355,1.105,0.605,1.305,1.055,0.655,1.155,0.405,0.305,0.155
3.45,6,80,1,1,0,1,31,6,1,13,6,0,3,0,4,59,0,3,31,8,0,176,6,0,2,1,0,169
4.7,6,10,7,22,0,77,2,1,0,11,3,7,3,46,3,47,10,4,0,18,15,0,1,8,20,2,6,15
1.0,4,29,5,82,0,36,0,129,0,68,23,103,4,20,10,3,24,0,9,197,3,39,16,5,6,23,3,97
3.65,0,45,3,6,18,55,2,27,0,0,4,4,2,8,3,158,3,9,5,0,3,35,19,94,26,0,0,11
1.25,52,0,22,11,13,177,4,56,144,93,3,61,0,5,18,0,3,6,0,0,1,0,0,2,1,93,2,54
3.7,13,21,1,138,122,0,3,0,8,86,15,24,3,165,22,1,22,47,22,78,3,98,138,1,2,23,2,3
2.85,3,155,17,96,5,0,0,1,49,16,1,58,29,0,3,84,4,17,106,2,3,0,50,0,25,2,54,3
4.05,6,9,1,7,15,24,2,20,1,0,41,4,2,7,3,0,6,1,0,10,2,24,151,0,104,6,6,3
3.55,0,85,1,2,28,194,67,0,1,3,14,37,1,117,2,31,10,12,1,120,1,8,135,0,0,15,0,45
2.7,30,0,56,34,2,8,27,2,0,21,5,20,1,22,6,36,5,32,0,72,0,17,71,9,25,174,1,118
1.85,43,5,73,0,253,41,2,3,119,0,75,16,11,93,117,0,14,7,15,1,13,47,189,9,12,412,13,0
4.3,2,21,0,4,0,8,1,0,13,0,14,13,2,19,6,37,4,55,7,3,2,83,45,1,290,3,12,1
4.4,17,18,1,288,49,0,10,0,43,47,0,1,7,3,3,13,134,0,1,338,1,9,11,138,7,69,1,1
3.15,36,4,21,18,17,30,7,0,1,0,190,14,4,127,4,12,14,14,0,109,0,66,3,3,65,26,2,14
4.15,3,33,0,11,1,4,19,1,1,5,16,12,4,4,4,60,0,0,1,12,3,0,11,0,17,1,1,2
3.3,2,6,117,30,10,8,2,2,17,0,11,101,14,10,4,41,3,7,0,5,30,28,0,4,4,1,4,2
1.95,1,1,385,4,23,33,16,24,13,9,53,2,0,16,24,0,0,19,0,59,16,193,0,1,27,89,1,11
1.05,23,7,227,34,23,0,9,1,127,11,57,5,36,3,0,23,2,37,0,36,2,8,5,10,14,3,1,52
3.85,1,4,0,17,2,189,4,7,3,94,62,2,2,0,8,56,16,55,1,16,1,43,27,25,41,4,29,2
3.9,1,20,4,1,10,8,0,1,3,65,13,122,2,13,4,64,58,325,0,124,2,101,16,22,0,3,1,1
3.0,6,7,56,3,7,1,3,3,1,7,0,0,0,3,22,16,56,39,60,25,1,79,25,29,42,15,8,15
